1	0.000	3.220E+11	3.220E+11	1.678E+11	8.456E+10	5.736E+03	2.183E+04	2.183E+04
2	0.005	2.882E+11	2.877E+11	1.495E+11	7.509E+10	5.094E+03	1.953E+04	1.951E+04
3	0.007	2.495E+11	2.516E+11	1.293E+11	6.537E+10	4.436E+03	1.690E+04	1.706E+04
4	0.009	2.116E+11	2.152E+11	1.093E+11	5.573E+10	3.783E+03	1.433E+04	1.461E+04
5	0.011	1.754E+11	1.801E+11	8.966E+10	4.647E+10	3.148E+03	1.185E+04	1.221E+04
6	0.013	1.620E+11	1.633E+11	7.981E+10	4.278E+10	2.875E+03	1.081E+04	1.105E+04
7	0.024	1.447E+11	1.543E+11	7.223E+10	4.014E+10	2.914E+03	1.017E+04	1.058E+04
8	0.026	1.308E+11	1.409E+11	6.474E+10	3.647E+10	2.682E+03	9.290E+03	9.741E+03
9	0.047	1.040E+11	1.241E+11	5.007E+10	3.082E+10	2.333E+03	7.582E+03	8.748E+03
10	0.068	7.985E+10	1.037E+11	3.532E+10	2.546E+10	1.979E+03	5.846E+03	7.650E+03
11	0.089	7.047E+10	9.368E+10	2.537E+10	2.403E+10	1.838E+03	4.929E+03	7.125E+03
12	0.114	5.575E+10	8.338E+10	1.502E+10	2.206E+10	1.628E+03	3.722E+03	6.317E+03
13	0.146	4.972E+10	8.755E+10	9.273E+09	2.336E+10	1.684E+03	3.143E+03	6.595E+03
14	0.163	4.758E+10	9.845E+10	7.659E+09	2.585E+10	1.736E+03	2.817E+03	6.996E+03
15	0.179	4.171E+10	1.048E+11	5.891E+09	2.679E+10	1.757E+03	2.419E+03	7.241E+03
16	0.195	3.876E+10	1.051E+11	4.411E+09	2.851E+10	1.813E+03	2.173E+03	7.136E+03
17	0.222	3.357E+10	1.032E+11	3.854E+09	2.836E+10	1.791E+03	1.874E+03	6.952E+03
18	0.249	2.851E+10	9.910E+10	3.221E+09	2.812E+10	1.760E+03	1.581E+03	6.618E+03
19	0.276	2.310E+10	6.649E+10	2.672E+09	2.452E+10	1.575E+03	1.284E+03	4.964E+03
20	0.358	1.447E+10	5.483E+10	1.720E+09	2.264E+10	1.434E+03	7.968E+02	3.972E+03
21	0.439	8.956E+09	3.371E+10	1.101E+09	1.996E+10	1.256E+03	4.874E+02	2.612E+03
22	0.520	5.382E+09	2.175E+10	6.900E+08	1.769E+10	1.107E+03	2.915E+02	1.781E+03
23	0.602	3.111E+09	1.444E+10	4.317E+08	1.473E+10	9.346E+02	1.693E+02	1.253E+03
24	0.667	1.799E+09	1.143E+10	2.940E+08	1.223E+10	7.789E+02	9.937E+01	9.610E+02
25	0.683	1.549E+09	1.072E+10	2.635E+08	1.163E+10	7.403E+02	8.566E+01	8.916E+02
26	0.732	1.014E+09	8.719E+09	2.095E+08	9.291E+09	6.065E+02	5.733E+01	7.094E+02
27	0.764	7.357E+08	7.405E+09	1.864E+08	7.526E+09	5.041E+02	4.281E+01	5.895E+02
28	0.846	3.551E+08	4.899E+09	1.286E+08	5.019E+09	3.587E+02	2.224E+01	3.863E+02
29	0.894	2.082E+08	3.663E+09	9.778E+07	3.816E+09	2.895E+02	1.411E+01	2.925E+02
30	0.943	8.095E+07	1.737E+09	4.510E+07	2.724E+09	2.095E+02	5.724E+00	1.392E+02
31	0.957	4.285E+07	9.074E+08	2.579E+07	2.106E+09	1.555E+02	3.066E+00	7.161E+01
32	0.972	1.922E+07	4.187E+08	1.148E+07	1.628E+09	1.202E+02	1.370E+00	3.304E+01
33	0.986	5.125E+06	1.190E+08	3.031E+06	1.071E+09	7.911E+01	3.620E-01	9.382E+00
34	1.000	5.840E+03	6.222E+04	2.573E+03	8.866E+07	6.549E+00	6.332E-04	4.825E-03
